,user_id,gender,ratings_count,reviews_count,year_joined,young_age,location,friends,fav_genres,groups_count,2018,avg_page_18,2019,avg_page_19,2020,avg_page_20,fav_genres2,category,category_simplified,total_page,challenge_completed
0,1,1,806,34,2014,1,Asia,103,"['Chick-lit', 'Christian', 'Ebooks', 'Fantasy', 'Fiction', 'Poetry', 'Romance', 'Self help', 'Young-adult']",6,0,209,0,199,1,297,"['Romance', 'Religion', 'Fiction', 'Fiction', 'Romance', 'Self help', 'Young-adult']","{'Fiction', 'Non-fiction'}",1,705,1
1,2,1,822,90,2013,0,USA,225,"['Chick-lit', 'Contemporary', 'Fantasy', 'Fiction', 'Historical fiction', 'Horror', 'Humor Comedy', 'Non-fiction', 'Paranormal', 'Romance', 'Science fiction', 'Suspense', 'Thriller', 'Young-adult']",0,1,388,1,383,1,355,"['Romance', 'Fiction', 'Fiction', 'Fiction', 'Fiction', 'Horror', 'Humor Comedy', 'Non-fiction', 'Horror', 'Romance', 'Fiction', 'Thriller', 'Thriller', 'Young-adult']","{'Fiction', 'Non-fiction'}",1,1126,3
2,3,1,114,4,2014,1,Asia,7,"['Chick-lit', 'Contemporary', 'Ebooks', 'Romance', 'Self help', 'Young-adult', 'personal-development', 'childrens']",1,1,288,1,292,0,284,"['Romance', 'Fiction', 'Romance', 'Self help', 'Young-adult', 'Self help', 'childrens']","{'Fiction', 'Non-fiction'}",1,864,2
3,4,1,1265,630,2015,1,Asia,588,"['Fantasy', 'Historical fiction', 'Manga', 'Young-adult']",1,1,302,1,346,1,380,"['Fiction', 'Fiction', 'Comics', 'Young-adult']",{'Fiction'},1,1028,3
4,5,1,380,1,2014,0,EU,56,"['Comics', 'Fantasy', 'Historical fiction', 'Humor Comedy', 'Poetry', 'Psychology', 'Science']",1,1,327,1,628,0,278,"['Comics', 'Fiction', 'Fiction', 'Humor Comedy', 'Psychology', 'Science']","{'Fiction', 'Non-fiction'}",1,1233,2
5,6,0,50,2,2017,1,Asia,27,"['Business', 'Ebooks', 'History', 'Memoir', 'Non-fiction', 'Philosophy', 'Psychology', 'Science', 'Science fiction', 'Self help', 'Spirituality']",0,0,345,0,319,1,317,"['Business', 'History', 'Biography', 'Non-fiction', 'Philosophy', 'Psychology', 'Science', 'Fiction', 'Self help', 'Religion']","{'Fiction', 'Non-fiction'}",0,981,1
6,7,0,630,7,2008,0,EU,90,"['Biography', 'Classics', 'Comics', 'Graphic novels', 'Manga', 'Non-fiction', 'Philosophy', 'Poetry', 'Science', 'Science fiction']",0,0,298,1,245,1,173,"['Biography', 'Classics', 'Comics', 'Comics', 'Comics', 'Non-fiction', 'Philosophy', 'Science', 'Fiction']","{'Fiction', 'Non-fiction'}",0,716,2
7,8,0,78,3,2019,0,EU,9,"['Horror', 'Mystery', 'Science fiction']",0,0,278,1,197,0,393,"['Horror', 'Thriller', 'Fiction']",{'Fiction'},1,868,1
8,9,0,39,6,2011,0,USA,108,"['Business', ' Biography', ' Non-fiction', ' Leadership', ' Self Help']",0,0,276,0,240,0,239,"['Business', 'Biography', 'Non-fiction', 'Business', 'Self Help']",{'Non-fiction'},0,755,0
9,10,0,34,0,2012,0,EU,18,"['Biography', 'Classics', 'Crime', 'Fantasy', 'Fiction', 'Historical fiction', 'History', 'Non-fiction', 'Philosophy', 'Science fiction', 'Sports', 'Thriller']",0,0,492,0,326,1,329,"['Biography', 'Classics', 'Thriller', 'Fiction', 'Fiction', 'Fiction', 'History', 'Non-fiction', 'Philosophy', 'Fiction', 'Thriller']","{'Fiction', 'Non-fiction'}",0,1147,1
10,11,1,312,41,2009,0,USA,81,"['Biography', ""Children's"", 'Contemporary', 'Cookbooks', 'Fiction', 'Historical fiction', 'Literary Fiction', 'Memoir']",0,1,363,1,382,1,322,"['Biography', ""Children's"", 'Fiction', 'Fiction', 'Fiction', 'Fiction', 'Biography']","{'Fiction', 'Non-fiction'}",0,1067,3
11,12,1,237,74,2013,1,EU,150,"['Contemporary', ' Fiction', ' Young Adult']",0,1,256,1,240,1,252,"['Fiction', 'Fiction', 'Young Adult']",{'Fiction'},1,748,3
12,13,1,575,138,2007,1,USA,162,"['Adult Fiction', 'Art', 'Biography', 'Book Club', 'Classics', 'Contemporary', 'Fantasy', 'Fiction', 'Historical fiction', 'History', 'Literary Fiction', 'Memoir', 'Music', 'Mystery', 'Non-fiction', 'Philosophy', 'Poetry', 'Psychology', 'Romance', 'Science fiction', 'Travel', 'Young-adult']",2,1,336,1,357,1,307,"['Fiction', 'Biography', 'Classics', 'Fiction', 'Fiction', 'Fiction', 'Fiction', 'History', 'Fiction', 'Biography', 'Art', 'Thriller', 'Non-fiction', 'Philosophy', 'Psychology', 'Romance', 'Fiction', 'Travel', 'Young-adult']","{'Fiction', 'Non-fiction'}",1,1000,3
13,14,1,137,27,2015,1,EU,40,"['Biography', 'Fiction', 'Graphic novels', 'Historical fiction', 'History', 'Humor Comedy', 'Non-fiction', 'Poetry', 'Young-adult']",1,1,156,1,242,1,222,"['Biography', 'Fiction', 'Comics', 'Fiction', 'History', 'Humor Comedy', 'Non-fiction', 'Young-adult']","{'Fiction', 'Non-fiction'}",0,620,3
14,15,1,242,32,2014,1,USA,272,['Fiction'],6,0,225,1,244,1,210,['Fiction'],{'Fiction'},1,679,2
15,16,0,258,149,2017,0,EU,440,"['Art', 'Biography', 'Classics', 'Contemporary', 'Fiction', 'History', 'Horror', 'Memoir', 'Mystery', 'Non-fiction', 'Philosophy', 'Psychology', 'Suspense', 'Thriller', 'Travel']",6,1,441,1,335,1,327,"['Biography', 'Classics', 'Fiction', 'Fiction', 'History', 'Horror', 'Biography', 'Thriller', 'Non-fiction', 'Philosophy', 'Psychology', 'Thriller', 'Thriller', 'Travel']","{'Fiction', 'Non-fiction'}",0,1103,3
16,17,0,29,2,2018,1,EU,33,"['Biography', 'History', 'Philosophy', 'Religion', 'Science', 'Self help', 'Spirituality']",0,0,237,0,218,0,337,"['Biography', 'History', 'Philosophy', 'Religion', 'Science', 'Self help', 'Religion']","{'Fiction', 'Non-fiction'}",0,792,0
17,18,0,532,39,2010,1,Asia,1476,"['Adult Fiction', 'Art', 'Book Club', 'Classics', 'Comics', 'Contemporary', 'Crime', 'Fiction', 'Graphic novels', 'Historical fiction', 'History', 'Horror', 'Literary Fiction', 'Manga', 'Music', 'Mystery', 'Science fiction', 'Suspense', 'Thriller']",3,0,403,0,866,1,364,"['Fiction', 'Classics', 'Comics', 'Fiction', 'Thriller', 'Fiction', 'Comics', 'Fiction', 'History', 'Horror', 'Fiction', 'Comics', 'Art', 'Thriller', 'Fiction', 'Thriller', 'Thriller']","{'Fiction', 'Non-fiction'}",1,1633,1
18,19,0,29,1,2016,0,EU,61,"['Biography', 'Business', 'Fiction', 'Horror', 'Mystery', 'Non-fiction', 'Science fiction', 'Thriller']",1,0,323,0,279,0,234,"['Biography', 'Business', 'Fiction', 'Horror', 'Thriller', 'Non-fiction', 'Fiction', 'Thriller']","{'Fiction', 'Non-fiction'}",0,836,0
19,20,0,294,170,2013,1,EU,927,"['Adult Fiction', ""Children's"", 'Classics', 'Comics', 'Contemporary', 'Crime', 'Fantasy', 'Fiction', 'Gay Lesbian', 'Graphic novels', 'Historical fiction', 'Horror', 'Manga', 'Memoir', 'Mystery', 'Non-fiction', 'Politics', 'Romance', 'Science', 'Science fiction', 'Suspense', 'Thriller', 'Young-adult', 'epic-fantasy', 'lgbt']",12,1,383,1,330,1,352,"['Fiction', ""Children's"", 'Classics', 'Comics', 'Fiction', 'Thriller', 'Fiction', 'Fiction', 'Comics', 'Fiction', 'Horror', 'Comics', 'Biography', 'Thriller', 'Non-fiction', 'Politics', 'Romance', 'Science', 'Fiction', 'Thriller', 'Thriller', 'Young-adult', 'epic-fantasy']","{'Fiction', 'Non-fiction'}",1,1065,3
20,21,1,79,0,2017,1,USA,17,"['Contemporary', ' Fiction', ' Nonfiction', ' Philosophy']",0,0,312,0,314,0,311,"['Fiction', 'Fiction', 'Nonfiction', 'Philosophy']","{'Fiction', 'Non-fiction'}",1,937,0
21,22,1,49,25,2018,1,EU,32,"['Chick-lit', 'Classics', 'Contemporary', 'Fantasy', 'Fiction', 'Mystery', 'Suspense', 'Thriller']",2,1,398,1,213,0,253,"['Romance', 'Classics', 'Fiction', 'Fiction', 'Fiction', 'Thriller', 'Thriller', 'Thriller']",{'Fiction'},1,864,2
22,23,1,149,1,2012,1,USA,226,"['Book Club', 'Chick-lit', 'Contemporary', 'Fantasy', 'Fiction', 'Historical fiction', 'Memoir', 'Non-fiction', 'Science fiction', 'Self help', 'Young-adult']",3,0,397,0,344,1,368,"['Romance', 'Fiction', 'Fiction', 'Fiction', 'Fiction', 'Biography', 'Non-fiction', 'Fiction', 'Self help', 'Young-adult']","{'Fiction', 'Non-fiction'}",1,1109,1
23,24,1,543,137,2015,0,USA,2172,"['Biography', 'Chick-lit', 'Classics', 'Contemporary', 'Fiction', 'Historical fiction', 'History', 'Horror', 'Mystery', 'Non-fiction', 'Paranormal', 'Romance', 'Science fiction', 'Young-adult', 'new-adult']",5,0,330,1,369,0,371,"['Biography', 'Romance', 'Classics', 'Fiction', 'Fiction', 'Fiction', 'History', 'Horror', 'Thriller', 'Non-fiction', 'Horror', 'Romance', 'Fiction', 'Young-adult']","{'Fiction', 'Non-fiction'}",0,1070,1
24,25,1,467,104,2018,1,EU,52,"['Classics', 'Contemporary', 'Fiction', 'Memoir', 'Non-fiction', 'Poetry', 'Self help', 'Spirituality']",5,0,362,1,334,1,289,"['Classics', 'Fiction', 'Fiction', 'Biography', 'Non-fiction', 'Self help', 'Religion']","{'Fiction', 'Non-fiction'}",1,985,2
25,26,0,259,4,2008,0,EU,185,"['Adult Fiction', 'Book Club', 'Classics', 'Contemporary', 'Crime', 'Ebooks', 'Fantasy', 'Fiction', 'Historical fiction', 'History', 'Horror', 'Literary Fiction', 'Mystery', 'Non-fiction', 'Paranormal', 'Politics', 'Psychology', 'Romance', 'Science', 'Science fiction', 'Suspense', 'Thriller', 'Young-adult', 'dark-fantasy']",1,1,265,1,283,0,238,"['Fiction', 'Classics', 'Fiction', 'Thriller', 'Fiction', 'Fiction', 'Fiction', 'History', 'Horror', 'Fiction', 'Thriller', 'Non-fiction', 'Horror', 'Politics', 'Psychology', 'Romance', 'Science', 'Fiction', 'Thriller', 'Thriller', 'Young-adult', 'dark-fantasy']","{'Fiction', 'Non-fiction'}",1,786,2
